window,model,dataset,pre_acc,pre_f1,samples,class_dist,conf_matrix,train_time_sec,train_mem_mb,initial_acc,initial_f1
0,LogisticRegression,nsl,0.996,0.996,500,"{21: 498, 4: 2}","[[1, 1], [1, 497]]",0.623,0.102,1.0,1.0
1,LogisticRegression,nsl,0.992,0.993325285043595,500,"{21: 498, 4: 2}","[[1, 1], [3, 495]]",,,,
